datum,somn_min,vilopuls,steg,stress,hrv,batteri,vo2max,pris_OMX,pris_AAPL,pris_TSLA,sleep_score,pris_SEB_A_ST,pris_SWED_A_ST,pris_SHB_A_ST,pris_NDA_SE_ST,pris_VOLV_B_ST,pris_ATCO_A_ST,pris_SAND_ST,pris_ERIC_B_ST,pris_TEL2_B_ST,pris_HM_B_ST,pris_AXFO_ST,pris_AZN_ST,pris_CAST_ST,pris_FABG_ST,pris_EVO_ST,pris_EMBRAC_B_ST,pris_SAVE_ST,pris_ALFA_ST,pris_STORY_B_ST,pris_SINCH_ST,pris_MIPS_ST,total_kalorier
2026-07-27,562,46,7606,23,99,51,55.0,3217.89,336.91,309.22,,,,,,,,,,,,,,,,,,,,,,,
2026-07-28,178,53,11040,49,49,24,55.0,3224.22,339.48,306.99,,,,,,,,,,,,,,,,,,,,,,,
2026-07-29,302,43,7856,17,104,32,55.0,3219.11,338.19,298.32,59,,,,,,,,,,,,,,,,,,,,,,
2026-07-30,376,43,11848,26,119,26,55.0,3233.44,333.43,308.85,77,221.7,378.9,144.15,191.55,364.2,200.2,355.0,93.26,166.55,173.9,244.5,1633.0,133.65,75.15,737.2,69.46,367.8,558.2,108.7,39.1,426.0,
2026-07-31,145,47,218,26,73,66,55.0,3260.65,333.43,308.85,32,223.4,381.4,146.0,192.6,365.9,203.0,358.3,94.2,164.85,172.75,243.1,1635.0,134.1,75.3,730.0,68.12,364.8,566.4,106.1,40.35,424.2,1375.0
2026-08-01,173,51,11182,30,84,25,55.0,3246.92,308.91,311.21,36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1801.0
2026-08-02,228,41,5760,11,90,70,55.0,3246.92,308.91,311.21,51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2080.0
2026-08-03,262,47,5885,23,112,55,56.0,3280.86,305.83,318.77,51,225.3,384.1,146.55,193.7,369.9,203.4,357.6,96.38,167.55,177.85,244.0,1484.5,135.05,75.7,732.2,67.32,361.8,566.6,103.1,40.46,409.6,1580.0
2026-08-04,,,,,,,56.0,3246.92,303.42,322.08,,225.3,383.9,146.8,193.75,369.4,203.1,357.0,96.2,167.7,178.05,242.7,1474.0,135.35,75.85,729.2,67.18,360.2,566.8,103.4,40.23,406.4,
2026-08-05,646,41,8183,16,120,49,56.0,3326.93,311.0,321.55,85,223.2,384.8,147.7,190.45,366.4,210.2,374.5,96.34,161.25,177.45,238.2,1545.5,136.05,75.95,732.8,66.3,360.2,567.4,103.6,41.25,399.8,2599.0
2026-08-10,418,40,9316,27,106,25,56.0,3305.57,308.26,330.88,76,222.1,378.9,146.85,190.4,354.6,210.7,367.1,95.62,160.5,179.55,236.6,1543.5,135.65,75.95,741.8,68.98,356.8,570.8,102.7,43.78,400.0,2510.0
2026-08-12,,47,186,25,,12,56.0,3297.0,304.91,332.81,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,140.0
2026-08-14,286,45,3341,21,93,48,56.0,3274.52,306.19,341.93,59,222.9,380.5,148.3,192.05,340.2,208.4,359.2,97.62,164.9,175.1,237.2,1480.0,136.2,77.15,752.6,76.18,364.4,557.2,109.0,44.3,402.6,1837.0
2026-08-15,,,,,,,56.0,3281.46,305.93,342.27,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2026-08-17,172,48,11293,35,91,10,56.0,3266.3,305.59,339.3,35,221.0,379.5,148.4,191.05,342.7,207.8,361.4,97.14,164.7,172.7,234.4,1489.0,135.05,76.3,787.6,74.42,368.4,558.8,108.3,43.4,393.0,2384.0
2026-08-18,334,47,16764,29,99,10,56.0,3244.67,310.03,336.87,62,220.0,378.1,147.85,190.95,340.2,202.3,356.9,96.52,165.95,179.7,235.9,1528.0,135.25,76.35,781.0,75.2,364.4,550.6,106.7,43.97,406.2,2741.0
2026-08-19,517,46,7771,21,100,50,56.0,3243.44,315.95,346.79,60,217.4,372.7,145.8,188.3,339.0,199.65,359.3,96.12,166.4,182.15,237.2,1555.5,134.9,75.45,779.8,71.96,362.4,547.0,104.8,43.93,397.0,1936.0
2026-08-20,317,46,7034,26,112,23,55.0,3258.33,311.3,345.13,65,218.7,372.5,146.05,189.1,340.0,201.2,368.7,96.62,167.9,181.65,243.4,1560.5,133.6,75.25,805.0,72.06,362.0,548.4,106.6,43.97,378.4,2270.0
2026-08-21,226,47,9323,34,99,15,55.0,3294.24,311.3,345.13,41,220.9,375.3,147.75,190.9,341.7,205.3,379.7,96.76,167.2,183.25,244.3,1551.0,132.65,75.6,809.0,74.42,367.6,561.6,105.7,45.1,377.8,1689.0
2026-08-22,,,,,,,55.0,3292.34,309.35,362.86,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
